"node1","edge","node2"
"723377","CHEMICALINCREASESEXPRESSION","110"
"721780","CHEMICALDECREASESEXPRESSION","110"
"720725","CHEMICALDECREASESEXPRESSION","110"
"721169","CHEMICALDECREASESEXPRESSION","110"
"721420","CHEMICALDECREASESEXPRESSION","110"
"719949","CHEMICALDECREASESEXPRESSION","110"
"719939","CHEMICALDECREASESEXPRESSION","110"
"720608","CHEMICALDECREASESEXPRESSION","110"
"720149","CHEMICALDECREASESEXPRESSION","110"
"720495","CHEMICALDECREASESEXPRESSION","110"
"720042","CHEMICALDECREASESEXPRESSION","110"
"720039","CHEMICALINCREASESEXPRESSION","110"
"719190","CHEMICALDECREASESEXPRESSION","110"
"719166","CHEMICALDECREASESEXPRESSION","110"
"714083","CHEMICALDECREASESEXPRESSION","110"
"715119","CHEMICALDECREASESEXPRESSION","110"
"711319","CHEMICALDECREASESEXPRESSION","110"
"711576","CHEMICALDECREASESEXPRESSION","110"
"710177","CHEMICALINCREASESEXPRESSION","110"
"709602","CHEMICALDECREASESEXPRESSION","110"
"1682","CHEMICALDECREASESEXPRESSION","110"
"721397","CHEMICALBINDSGENE","328"
"720710","CHEMICALBINDSGENE","328"
"720908","CHEMICALBINDSGENE","328"
"720983","CHEMICALBINDSGENE","328"
"721075","CHEMICALBINDSGENE","328"
"1682","CHEMICALBINDSGENE","328"
"704147","CHEMICALBINDSGENE","328"
"706582","CHEMICALBINDSGENE","328"
"706644","CHEMICALBINDSGENE","328"
"706103","CHEMICALBINDSGENE","328"
"705995","CHEMICALBINDSGENE","328"
"710034","CHEMICALBINDSGENE","328"
"710951","CHEMICALBINDSGENE","328"
"710950","CHEMICALBINDSGENE","328"
"711101","CHEMICALBINDSGENE","328"
"712196","CHEMICALBINDSGENE","328"
"715270","CHEMICALBINDSGENE","328"
"719518","CHEMICALBINDSGENE","328"
"719745","CHEMICALBINDSGENE","328"
"720149","CHEMICALBINDSGENE","328"
"720344","CHEMICALBINDSGENE","328"
"720597","CHEMICALBINDSGENE","328"
"720252","CHEMICALBINDSGENE","328"
"720195","CHEMICALBINDSGENE","328"
"720480","CHEMICALBINDSGENE","328"
"720393","CHEMICALBINDSGENE","328"
"720586","CHEMICALBINDSGENE","328"
"720646","CHEMICALBINDSGENE","328"
"721097","CHEMICALBINDSGENE","328"
"721332","CHEMICALBINDSGENE","328"
"721541","CHEMICALBINDSGENE","328"
"716258","CHEMICALDECREASESEXPRESSION","502"
"721304","CHEMICALDECREASESEXPRESSION","502"
"722999","CHEMICALDECREASESEXPRESSION","502"
"1682","CHEMICALINCREASESEXPRESSION","502"
"710104","CHEMICALINCREASESEXPRESSION","502"
"710758","CHEMICALINCREASESEXPRESSION","502"
"710177","CHEMICALINCREASESEXPRESSION","502"
"710522","CHEMICALINCREASESEXPRESSION","502"
"711973","CHEMICALINCREASESEXPRESSION","502"
"714199","CHEMICALINCREASESEXPRESSION","502"
"714396","CHEMICALINCREASESEXPRESSION","502"
"714073","CHEMICALINCREASESEXPRESSION","502"
"716330","CHEMICALINCREASESEXPRESSION","502"
"719736","CHEMICALINCREASESEXPRESSION","502"
"719973","CHEMICALINCREASESEXPRESSION","502"
"720495","CHEMICALINCREASESEXPRESSION","502"
"721484","CHEMICALINCREASESEXPRESSION","502"
"721113","CHEMICALINCREASESEXPRESSION","502"
"720856","CHEMICALINCREASESEXPRESSION","502"
"721169","CHEMICALINCREASESEXPRESSION","502"
"721412","CHEMICALINCREASESEXPRESSION","502"
"721780","CHEMICALINCREASESEXPRESSION","502"
"722745","CHEMICALINCREASESEXPRESSION","502"
"723263","CHEMICALINCREASESEXPRESSION","502"
"723822","CHEMICALINCREASESEXPRESSION","502"
"1682","CHEMICALBINDSGENE","516"
"711173","CHEMICALBINDSGENE","516"
"718981","CHEMICALBINDSGENE","516"
"720421","CHEMICALBINDSGENE","516"
"720139","CHEMICALBINDSGENE","516"
"721656","CHEMICALBINDSGENE","516"
"723340","CHEMICALBINDSGENE","516"
"723782","CHEMICALBINDSGENE","516"
"720725","CHEMICALINCREASESEXPRESSION","587"
"721140","CHEMICALINCREASESEXPRESSION","587"
"720132","CHEMICALINCREASESEXPRESSION","587"
"719359","CHEMICALINCREASESEXPRESSION","587"
"714226","CHEMICALINCREASESEXPRESSION","587"
"709756","CHEMICALINCREASESEXPRESSION","587"
"1682","CHEMICALINCREASESEXPRESSION","587"
"714564","CHEMICALDECREASESEXPRESSION","663"
"719745","CHEMICALDECREASESEXPRESSION","663"
"721228","CHEMICALDECREASESEXPRESSION","663"
"721304","CHEMICALDECREASESEXPRESSION","663"
"722411","CHEMICALDECREASESEXPRESSION","663"
"723225","CHEMICALDECREASESEXPRESSION","663"
"723175","CHEMICALDECREASESEXPRESSION","663"
"722999","CHEMICALDECREASESEXPRESSION","663"
"717344","CHEMICALBINDSGENE","663"
"720300","CHEMICALBINDSGENE","663"
"719979","CHEMICALBINDSGENE","663"
"723727","CHEMICALBINDSGENE","663"
"1682","CHEMICALINCREASESEXPRESSION","663"
"711973","CHEMICALINCREASESEXPRESSION","663"
"720495","CHEMICALINCREASESEXPRESSION","663"
"1682","CHEMICALBINDSGENE","680"
"708960","CHEMICALBINDSGENE","680"
"709826","CHEMICALBINDSGENE","680"
"711576","CHEMICALBINDSGENE","680"
"720252","CHEMICALBINDSGENE","680"
"720283","CHEMICALBINDSGENE","680"
"720141","CHEMICALBINDSGENE","680"
"720421","CHEMICALBINDSGENE","680"
"719921","CHEMICALBINDSGENE","680"
"720280","CHEMICALBINDSGENE","680"
"720997","CHEMICALBINDSGENE","680"
"722016","CHEMICALBINDSGENE","680"
"723156","CHEMICALBINDSGENE","680"
"1682","CHEMICALINCREASESEXPRESSION","691"
"710758","CHEMICALINCREASESEXPRESSION","691"
"715119","CHEMICALINCREASESEXPRESSION","691"
"714226","CHEMICALINCREASESEXPRESSION","691"
"716259","CHEMICALINCREASESEXPRESSION","691"
"716261","CHEMICALINCREASESEXPRESSION","691"
"716726","CHEMICALINCREASESEXPRESSION","691"
"719703","CHEMICALINCREASESEXPRESSION","691"
"719359","CHEMICALINCREASESEXPRESSION","691"
"719166","CHEMICALINCREASESEXPRESSION","691"
"720280","CHEMICALINCREASESEXPRESSION","691"
"720495","CHEMICALINCREASESEXPRESSION","691"
"721484","CHEMICALINCREASESEXPRESSION","691"
"721169","CHEMICALINCREASESEXPRESSION","691"
"721219","CHEMICALINCREASESEXPRESSION","691"
"722707","CHEMICALINCREASESEXPRESSION","691"
"723822","CHEMICALINCREASESEXPRESSION","691"
"1682","CHEMICALBINDSGENE","712"
"709347","CHEMICALBINDSGENE","712"
"708960","CHEMICALBINDSGENE","712"
"709826","CHEMICALBINDSGENE","712"
"711576","CHEMICALBINDSGENE","712"
"719921","CHEMICALBINDSGENE","712"
"720421","CHEMICALBINDSGENE","712"
"720211","CHEMICALBINDSGENE","712"
"720280","CHEMICALBINDSGENE","712"
"720141","CHEMICALBINDSGENE","712"
"719947","CHEMICALBINDSGENE","712"
"720283","CHEMICALBINDSGENE","712"
"721175","CHEMICALBINDSGENE","712"
"723156","CHEMICALBINDSGENE","712"
"1682","CHEMICALDECREASESEXPRESSION","746"
"710522","CHEMICALDECREASESEXPRESSION","746"
"710758","CHEMICALDECREASESEXPRESSION","746"
"710198","CHEMICALDECREASESEXPRESSION","746"
"711576","CHEMICALDECREASESEXPRESSION","746"
"714396","CHEMICALDECREASESEXPRESSION","746"
"714062","CHEMICALDECREASESEXPRESSION","746"
"715119","CHEMICALDECREASESEXPRESSION","746"
"714226","CHEMICALDECREASESEXPRESSION","746"
"719166","CHEMICALDECREASESEXPRESSION","746"
"719745","CHEMICALDECREASESEXPRESSION","746"
"719523","CHEMICALDECREASESEXPRESSION","746"
"719703","CHEMICALDECREASESEXPRESSION","746"
"720495","CHEMICALDECREASESEXPRESSION","746"
"720344","CHEMICALDECREASESEXPRESSION","746"
"719902","CHEMICALDECREASESEXPRESSION","746"
"721510","CHEMICALDECREASESEXPRESSION","746"
"721397","CHEMICALDECREASESEXPRESSION","746"
"721420","CHEMICALDECREASESEXPRESSION","746"
"721780","CHEMICALDECREASESEXPRESSION","746"
"723225","CHEMICALDECREASESEXPRESSION","746"
"723727","CHEMICALDECREASESEXPRESSION","746"
"723726","CHEMICALBINDSGENE","757"
"722606","CHEMICALBINDSGENE","757"
"721097","CHEMICALBINDSGENE","757"
"720710","CHEMICALBINDSGENE","757"
"721497","CHEMICALBINDSGENE","757"
"720983","CHEMICALBINDSGENE","757"
"721173","CHEMICALBINDSGENE","757"
"721541","CHEMICALBINDSGENE","757"
"1682","CHEMICALBINDSGENE","757"
"706755","CHEMICALBINDSGENE","757"
"710034","CHEMICALBINDSGENE","757"
"710693","CHEMICALBINDSGENE","757"
"710970","CHEMICALBINDSGENE","757"
"711101","CHEMICALBINDSGENE","757"
"712196","CHEMICALBINDSGENE","757"
"715014","CHEMICALBINDSGENE","757"
"719381","CHEMICALBINDSGENE","757"
"719518","CHEMICALBINDSGENE","757"
"720016","CHEMICALBINDSGENE","757"
"719982","CHEMICALBINDSGENE","757"
"720646","CHEMICALBINDSGENE","757"
"719902","CHEMICALBINDSGENE","757"
"720480","CHEMICALBINDSGENE","757"
"720284","CHEMICALBINDSGENE","757"
"721158","CHEMICALBINDSGENE","757"
"723925","CHEMICALBINDSGENE","1279"
"723656","CHEMICALBINDSGENE","1279"
"724309","CHEMICALBINDSGENE","1279"
"724162","CHEMICALBINDSGENE","1279"
"724002","CHEMICALBINDSGENE","1279"
"723933","CHEMICALBINDSGENE","1279"
"724342","CHEMICALBINDSGENE","1279"
"723722","CHEMICALBINDSGENE","1279"
"723175","CHEMICALBINDSGENE","1279"
"723225","CHEMICALBINDSGENE","1279"
"722997","CHEMICALBINDSGENE","1279"
"722986","CHEMICALBINDSGENE","1279"
"723245","CHEMICALBINDSGENE","1279"
"723340","CHEMICALBINDSGENE","1279"
"723428","CHEMICALBINDSGENE","1279"
"723327","CHEMICALBINDSGENE","1279"
"723502","CHEMICALBINDSGENE","1279"
"723156","CHEMICALBINDSGENE","1279"
"723456","CHEMICALBINDSGENE","1279"
"723019","CHEMICALBINDSGENE","1279"
"723060","CHEMICALBINDSGENE","1279"
"723377","CHEMICALBINDSGENE","1279"
"723127","CHEMICALBINDSGENE","1279"
"723188","CHEMICALBINDSGENE","1279"
"723129","CHEMICALBINDSGENE","1279"
"723516","CHEMICALBINDSGENE","1279"
"723485","CHEMICALBINDSGENE","1279"
"723082","CHEMICALBINDSGENE","1279"
"723263","CHEMICALBINDSGENE","1279"
"723163","CHEMICALBINDSGENE","1279"
"723330","CHEMICALBINDSGENE","1279"
"722999","CHEMICALBINDSGENE","1279"
"723141","CHEMICALBINDSGENE","1279"
"722487","CHEMICALBINDSGENE","1279"
"722614","CHEMICALBINDSGENE","1279"
"722630","CHEMICALBINDSGENE","1279"
"722606","CHEMICALBINDSGENE","1279"
"722411","CHEMICALBINDSGENE","1279"
"722553","CHEMICALBINDSGENE","1279"
"722919","CHEMICALBINDSGENE","1279"
"722791","CHEMICALBINDSGENE","1279"
"722458","CHEMICALBINDSGENE","1279"
"722940","CHEMICALBINDSGENE","1279"
"722707","CHEMICALBINDSGENE","1279"
"722616","CHEMICALBINDSGENE","1279"
"722612","CHEMICALBINDSGENE","1279"
