"node","maccs"
"49","0000000000000000000000000000000000000000000000000000000000000000000000010000000001000100001000000000000100011000011101000000010110010000011000000010000010101011000100"
"161","0000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000000000000000100000000100000000001000000000000000011010"
"163","0000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000000000000000100000000100000000011000010000000000011010"
"307","0000000000000000000000000000000001000000000000000000000000000000010000010000000000000100100000000010000000001001010101000010010110010001010100000110000011101011000100"
"399","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000011000000101000010010110010000000000000010100011101011000100"
"555","0000000000000000000000000000000000000000000000000000010000000000000000000000000001010000011000100001001100000010000001000010000000100100001001000010001011111110100101"
"728","0000000000000000000000000000000000000000000000000000000000000000010000000100000000000000110000000000000000011001001000000010010000000000001010000100100111101011000100"
"1102","0000000000000000000000000000100000000000000000010000000000000000000000000100000000000000000000000000010001000001100000000001111001000000000110101101100100001011011110"
"1248","0000000000000000000000000000000001000000000000000100000000000000010000000101000000000010000000010010001010100001000000000000000000000100000000000000110000000001001010"
"1492","0000000000000000000000000000000000100011000100011010001001111101101000001000000010000001100000011100010011000001000000001001101001000001100100111101010101010010111111"
"1521","0000000000000000000000000000000000000000000000000000110000000000000000000000000010000001000000000000000000000000000000000010000000100001001100000100000001001010000100"
"1575","0000000000000000000000000000000000000000000000000000110010000000000000010000000000100000111000010000000100011000011101000010011110110000111100100110010111101011000110"
"1682","0000000000000000000000000000000000000000000000000000000000000100010000000100000000001100011010001001000100010001101001000100011110010000001010101011110110101111111110"
"1684","0000000000000000000000000000000001000000000000000100000000000000010000000001000000000010000000010010001010100001000000000000000000000100010000000000010010100000001010"
"1690","0000000000000000000000000000000000000000000000000000110010000000000000010000000001000000111000000100000100001000000000000010011000110000111100100100010110101010001110"
"1693","0000000000000000000000001000000000001011001010010000111001011100001010001001111101010001111100101111010101001111000011111001001111111001111101100111011011111110101111"
"1785","0000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100011000011101000010010110010000001000000110100111101011000100"
"1800","0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000011000001101000010010010010001010110010110110011101011011110"
