dataset_name	hyperparameter_setting	n_training	n_testing	training_log_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_log_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
tox21-ahr-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5606	1402	0.06102	0.99787	0.00061	0.94439	0.00933	0.93003	0.01154	0.23222	0.88861	0.02047	0.70775	0.0308	0.54032	0.05904
tox21-ap1-agonist-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5477	1370	0.05867	0.99648	0.00169	0.92606	0.01256	0.91249	0.01509	0.2239	0.84498	0.03139	0.64634	0.03282	0.41916	0.07127
tox21-ar-bla-agonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5797	1450	0.01945	0.99929	0.00034	0.94589	0.01766	0.9313	0.02029	0.0889	0.89233	0.04923	0.76113	0.05321	0.61364	0.09339
tox21-ar-bla-antagonist-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5235	1309	0.04267	0.99883	0.00048	0.94435	0.01197	0.93169	0.0137	0.18201	0.89045	0.02525	0.64445	0.03501	0.41135	0.07752
tox21-ar-mda-kb2-luc-agonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	6190	1548	0.02055	0.99923	0.00041	0.92743	0.01831	0.91748	0.02131	0.09204	0.8487	0.05075	0.75287	0.0533	0.63636	0.09441
tox21-ar-mda-kb2-luc-agonist-p3	ne_100_md_10_lr_1e-1_ss_1_mw_1	5757	1440	0.01636	0.99925	0.00042	0.92532	0.02138	0.9193	0.02498	0.06782	0.90891	0.0486	0.72934	0.06636	0.59016	0.12143
tox21-ar-mda-kb2-luc-antagonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5203	1301	0.03327	0.99928	0.00038	0.95091	0.01251	0.94681	0.01408	0.16189	0.85661	0.03557	0.63782	0.03995	0.4	0.09259
tox21-ar-mda-kb2-luc-antagonist-p2	ne_100_md_10_lr_1e-1_ss_1_mw_1	4959	1240	0.06886	0.99797	0.00087	0.9618	0.00703	0.94616	0.00925	0.24601	0.90791	0.01708	0.73071	0.02901	0.58086	0.05272
tox21-are-bla-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	4778	1195	0.08826	0.99802	0.00052	0.95132	0.00754	0.94256	0.00857	0.38078	0.80877	0.02398	0.64073	0.02502	0.41905	0.05297
tox21-aromatase-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5301	1326	0.06395	0.99816	0.00059	0.9395	0.00971	0.9289	0.01183	0.26589	0.83567	0.02936	0.65112	0.02811	0.43396	0.06089
